class_val,area,fractal_dimension,core_area_index
2.0,1.525,1.043810189285198,83.77049180327869
2.0,3.37,1.0942242669803652,86.49851632047478
2.0,0.7175,1.1091293895956598,74.21602787456446
2.0,0.295,1.133281029220034,57.6271186440678
2.0,0.2225,1.1288410129034838,58.42696629213483
2.0,19.135,1.163188856569024,91.5077083877711
2.0,3.8775,1.0666363308280873,90.00644745325596
2.0,0.66,1.0740300711615665,77.65151515151516
2.0,295.855,1.239976569099579,95.01867468861435
2.0,6.3425,1.0967620223013668,90.69767441860465
2.0,2.2925,1.089676638215382,87.24100327153762
2.0,19.575,1.1232572828796352,93.34610472541507
2.0,0.9075,1.1205507183265062,72.1763085399449
2.0,0.53,1.1836502234686432,53.77358490566038
3.0,429.2075,1.1862858067596456,97.01950688186949
3.0,0.47,1.106402140052764,68.08510638297872
3.0,2.5275,1.1185876574248124,82.49258160237389
3.0,12.8825,1.070996642405133,93.69299437221036
3.0,0.9875,1.1321776765368692,74.43037974683544
3.0,204.465,1.1331619043128853,97.2586995329274
3.0,1.6975,1.2157172114201245,60.67746686303387
3.0,0.9225,1.1012803828762905,77.50677506775068
3.0,0.805,1.1142882658019113,73.6024844720497
3.0,0.645,1.1675967712640485,62.4031007751938
3.0,133.7025,1.239749977194348,93.45188010695387
3.0,0.425,1.178651318471877,58.23529411764706
3.0,0.1775,1.1159142392885502,57.74647887323944
3.0,0.51,1.1116163646145252,65.68627450980392
3.0,1.2975,1.1080447933361646,80.15414258188825
3.0,9.255,1.1612738099139392,88.76283090221501
3.0,0.2125,1.118206988338695,56.470588235294116
3.0,0.3975,1.179225951812086,53.459119496855344
3.0,0.2625,1.128602490315582,54.285714285714285
3.0,0.2025,1.1428063160445259,46.91358024691358
3.0,0.4075,1.1616819335765212,58.895705521472394
3.0,0.2675,1.0479780314265772,67.28971962616822
3.0,0.13,1.1301861630758652,55.76923076923077
3.0,0.835,1.1920684001147301,63.17365269461078
3.0,0.79,1.0668959330120222,79.43037974683544
3.0,1.355,1.1709413594464622,73.24723247232473
3.0,0.3525,1.065247787248572,69.50354609929079
3.0,1.1375,1.1399317348912619,75.6043956043956
3.0,0.6025,1.1048464627457772,69.70954356846472
3.0,0.4525,1.0881904499849515,70.1657458563536
3.0,15.465,1.1623760776811292,91.27061105722599
3.0,16.3375,1.258088591770972,83.70313695485845
3.0,4.315,1.1510092783385302,84.87833140208575
3.0,100.1725,1.2125952564253537,93.78821532855824
3.0,0.0025,1.0,0.0
3.0,0.24,1.1490453786189747,53.125
3.0,1.6025,1.1384971080796265,77.37909516380655
3.0,0.675,1.1168101696906763,71.48148148148148
